headerdatestamp|headeridentifier|headersetSpec|metadata.oai_dc:dc.dc:contributor.0|metadata.oai_dc:dc.dc:contributor.1|metadata.oai_dc:dc.dc:creator.0|metadata.oai_dc:dc.dc:creator.1|metadata.oai_dc:dc.dc:creator.2|metadata.oai_dc:dc.dc:creator.3|metadata.oai_dc:dc.dc:description.0|metadata.oai_dc:dc.dc:description.1|metadata.oai_dc:dc.dc:subject.0|metadata.oai_dc:dc.dc:subject.1|metadata.oai_dc:dc.dc:subject.2|metadata.oai_dc:dc.dc:subject.3|metadata.oai_dc:dc.dc:subject.4|metadata.oai_dc:dc.dc:subject.5|metadata.oai_dc:dc.dc:subject.6|metadata.oai_dc:dc.dc:subject.7|metadata.oai_dc:dc.dc:title.0|metadata.oai_dc:dc.dc:title.1|metadata.oai_dc:dc@xmlns:dc|metadata.oai_dc:dc@xmlns:oai_dc|metadata.oai_dc:dc@xmlns:xsi|metadata.oai_dc:dc@xsi:schemaLocation|metadata.oai_dc:dcdc:contributor|metadata.oai_dc:dcdc:creator|metadata.oai_dc:dcdc:date|metadata.oai_dc:dcdc:description|metadata.oai_dc:dcdc:format|metadata.oai_dc:dcdc:identifier|metadata.oai_dc:dcdc:language|metadata.oai_dc:dcdc:publisher|metadata.oai_dc:dcdc:rights|metadata.oai_dc:dcdc:subject|metadata.oai_dc:dcdc:title|metadata.oai_dc:dcdc:type
2009-03-06T21:35:03Z|CH081|tdh|    |    |    |    |    |    |Document ID: ch081|This document is an undated notice of the arrival of agents appointed to settle the claims of the Cherokee Indians under the New Echota Treaty (1835). The notice indicates that Cherokee claims will be received and filed according to the terms of the treaty. It is unclear precisely who wrote this notice or to whom it is directed.|Southern States|Indian agents|Cherokee Indians -- Claims|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|University of Tennessee Special Collections Library, Knoxville|    |    |    |Text/html|http://idserver.utk.edu/?id=200300000000099|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |Notice [of the arrival] of appraising agents for settling claims [of the Cherokees]: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH011|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch011|This document is a letter from Joseph McMinn, U.S. agent to the Cherokee Indians at the Cherokee Agency in Tennessee, to Cherokee leader Charles R. Hicks, dated May 22, 1824. McMinn reports to Hicks on the attempts to prevent intruders from trespassing on Cherokee land and refers to the efforts of Colonel Archibald R. Turk to remove the outlaws.|Southern States|Cherokee Indians -- Land tenure|Letters|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |McMinn, Joseph, 1758-1824|1824-05-22|    |Text/html|http://idserver.utk.edu/?id=200300000000037|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1824 May 22, Cherokee Agency [to] Charles R. Hicks / Joseph McMinn : a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|CH100|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch100|This is an excerpt from the Cherokee Supreme Court docket for the years 1823 to 1834. The Cherokee Supreme Court convened annually in New Echota beginning on the second Monday in October and lasting three weeks. This is the book cover of the docket, and it is dated October 9, 1829. The names of the Supreme Court Judges of the time, Daniel McCoy, Walter S. Adair, and Archy Fields, are inscribed inside the front cover. Entries from this Supreme Court docket cover items ch100-ch163.|Georgia|Cherokee Indians -- Legal status, laws, etc.|Cherokee Nation|Legal Document|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |1829-10-09|    |Text/html|http://idserver.utk.edu/?id=200300000000888|en|University of Tennessee Special Collections Library|This work is the property of the Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Tennessee State Library and Archives, 403 Seventh Avenue North, Nashville, TN 37243-0312. (615) 741-2764.|    |[Entries from the Cherokee Supreme Court Docket, 1823-1834, New Echota] [Book Cover] 1829 Oct. 9 : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|CH012|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|Ridge, John, 1803-1839|Martin, John, 1784-1840|    |    |Document ID: ch012|This is a letter from John Martin and John Ridge, Cherokee leaders in Washington, to John Ross, Principal Chief of the Cherokee Nation, dated December 28, 1831. Martin and Ridge report to Ross on the progress of the Cherokee delegation in Washington and their decision to delay the delivery of the Cherokee Memorial to Congress. They indicate that they have news of atrocities against the Cherokees in Georgia. They further inform Ross that Elias Boudinot and John Ridge have met with Henry Clay who has pledged his support. They lament the hypocrisy with which they are met in dealing with the U.S. government. In addition, Martin and Ridge make reference to a delegation of Creek leaders also in Washington and comment on William Wirt's involvement in the Supreme Court case Worcester v. Georgia.|Southern States|Cherokee Indians -- Government relations|Cherokee Indians -- Violence against|Letters|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |1831-12-28|    |Text/html|http://idserver.utk.edu/?id=200300000000038|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1831 Dec. 28, Washington [to] John Ross, Cherokee Nation / John Martin [and] John Ridge: a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|CH101|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch101|This is an excerpt from the Cherokee Supreme Court docket for the years 1823 to 1834. The Cherokee Supreme Court convened annually in New Echota beginning on the second Monday in October and lasting three weeks. These are the the first two pages of the docket, spanning from October 9 to October 14, 1823. Entries from this Supreme Court docket cover items ch100-ch163.|Georgia|Cherokee Indians -- Legal status, laws, etc.|Cherokee Nation|Legal Document|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |1823-10-09|    |Text/html|http://idserver.utk.edu/?id=200300000000889|en|University of Tennessee Special Collections Library|This work is the property of the Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Tennessee State Library and Archives, 403 Seventh Avenue North, Nashville, TN 37243-0312. (615) 741-2764.|    |[Entries from the Cherokee Supreme Court Docket, 1823-1834, New Echota] 1823 Oct. 9 : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|CH013|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch013|This document is a copy of a letter from Colonel Joseph Martin, at Chotee, to Richard Caswell, Governor of North Carolina (1776-1780, 1784-1787), dated September 19, 1785. Martin reports that he has assumed the duties of Indian agent (to the Cherokees) and has a considerably difficult summer due to frequent encroachments by inhabitants of the state of Franklin, as well as meddlesome talks from the Spaniards and the western Indians. He mentions the former British agent, Mr. McDonald and his relationship with the Chickamauga Cherokees, Alexander McGillivray, and the Creeks.|Southern States|Cherokee Indians -- Government relations|Indian agents|Creek Indians -- Government relations|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Martin, Joseph|1785-09-19|    |Text/html|http://idserver.utk.edu/?id=200300000000039|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1785 Sept. 19, Chotee to Gov[ernor of North Carolina, Richard] Caswell / Col[onel] Joseph Martin: a machine-readable transcription of an image|Text
2009-03-06T21:35:03Z|CH102|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch102|This is an excerpt from the Cherokee Supreme Court docket for the years 1823 to 1834. The Cherokee Supreme Court convened annually in New Echota beginning on the second Monday in October and lasting three weeks. This excerpt is from the Wednesday October 15 and Thursday October 15, 1823 sessions of court. Entries from this Supreme Court docket cover items ch100-ch163.|Georgia|Cherokee Indians -- Legal status, laws, etc.|Cherokee Nation|Legal Document|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |1823-10-15|    |Text/html|http://idserver.utk.edu/?id=200300000000890|en|University of Tennessee Special Collections Library|This work is the property of the Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Tennessee State Library and Archives, 403 Seventh Avenue North, Nashville, TN 37243-0312. (615) 741-2764.|    |[Entries from the Cherokee Supreme Court Docket, 1823-1834, New Echota] 1823 Oct. 15 : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|CH014|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch014|This document is a copy of a letter from (J. ?) Mason Jr., in Georgetown to John Ross, Principal Chief of the Cherokee Nation, dated August 29, 1838. Mason informs Ross that he has recently received information regarding the emigration of Cherokees to the Arkansas territory and expresses his desire to furnish mercantile goods, to be delivered through New Orleans.|Southern States|Cherokee Indians -- Relocation|Letters|    |    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Mason Jr., J.|1838-08-29|    |Text/html|http://idserver.utk.edu/?id=200300000000040|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1838 Aug. 29, Georgetown [to] John Ross / [J.?] Mason Jr.: a machine-readable transcription|Text
2009-03-06T21:35:03Z|CH103|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch103|This is an excerpt from the Cherokee Supreme Court docket for the years 1823 to 1834. The Cherokee Supreme Court convened annually in New Echota beginning on the second Monday in October and lasting three weeks. This excerpt is from Friday October 17 and Saturday October 18, 1823. Entries from this Supreme Court docket cover items ch100-ch163.|Georgia|Cherokee Indians -- Legal status, laws, etc.|Cherokee Nation|Legal Document|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |    |1823-10-17|    |Text/html|http://idserver.utk.edu/?id=200300000000891|en|University of Tennessee Special Collections Library|This work is the property of the Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text. For all other use contact the Tennessee State Library and Archives, 403 Seventh Avenue North, Nashville, TN 37243-0312. (615) 741-2764.|    |[Entries from the Cherokee Supreme Court Docket, 1823-1834, New Echota] 1823 Oct. 17 : a machine readable transcription of an image|Text
2009-03-06T21:35:03Z|CH016|tdh|University of Tennessee Special Collections Library, Knoxville|Tennessee State Library and Archives (Nashville, Tenn.)|    |    |    |    |Document ID: ch016|This is a letter from James Powell to John Ross, Principal Chief of the Cherokee Nation, dated October 16, 1838. Powell informs Ross of continuing problems in making ferry crossings with detachments, as a result of interference by local settlers. The letter is directed to Ross at the Cherokee Agency in Tennessee.|Southern States|Cherokee Nation|Indians, Treatment of|Letters|    |    |    |    |    |    |http://purl.org/dc/elements/1.1/|http://www.openarchives.org/OAI/2.0/oai_dc/|http://www.w3.org/2001/XMLSchema-instance|http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd|    |Powell, James|1838-10-16|    |Text/html|http://idserver.utk.edu/?id=200300000000041|en|The University of Tennessee Libraries|This work is the property of The Tennessee State Library and Archives, Nashville, TN. It may be used freely by individuals for research, teaching, and personal use as long as this statement of availability is included in the text.|    |[Letter] 1838 Oct. 16, Blythes Ferry [to] John Ross / James Powell: a machine-readable transcription|Text
